title,year,certificate,runtime_min,genre,rating,votes,director_star
The King's Man,2021,R,131,"Action, Adventure, Thriller            ",6.4,90344,Matthew Vaughn
West Side Story,2021,PG-13,156,"Crime, Drama, Musical            ",7.5,46778,Steven Spielberg
The Walking Dead,2010–2022,TV-14,44,"Drama, Horror, Thriller            ",8.3,934972,Andrew Lincoln
Free Guy,2021,PG-13,115,"Action, Adventure, Comedy            ",7.2,303127,Shawn Levy
Pam & Tommy,2022,TV-MA,340,"Biography, Drama, Romance            ",7.4,16576,Lily James
No Exit,2022,R,95,"Drama, Mystery, Thriller            ",6.1,9638,Damien Power
Fresh,2022,R,114,"Comedy, Horror, Thriller            ",6.7,9894,Mimi Cave
Encanto,2021,PG,102,"Animation, Comedy, Family            ",7.3,161397,Jared Bush
Death on the Nile,2022,PG-13,127,"Crime, Drama, Mystery            ",6.6,28807,Kenneth Branagh
The Dropout,2022– ,TV-MA,50,"Biography, Drama            ",7.4,1569,Michaela Watkins
The French Dispatch,2021,R,107,"Comedy, Drama, Romance            ",7.2,90872,Wes Anderson
Morbius,2022,PG-13,108,"Action, Adventure, Drama            ",7.5,99761,Daniel Espinosa
The Book of Boba Fett,2021– ,TV-14,38,"Action, Adventure, Sci-Fi            ",7.8,289452,Temuera Morrison
Grey's Anatomy,2005– ,TV-14,41,"Drama, Romance            ",6.4,270984,Ellen Pompeo
Eternals,2021,PG-13,156,"Action, Adventure, Fantasy            ",8.7,128305,Chloé Zhao
Moon Knight,2022– ,TV-14,45,"Action, Adventure, Drama            ",8.2,186539,Oscar Isaac
This Is Us,2016–2022,TV-14,42,"Comedy, Drama, Romance            ",8.9,213605,Milo Ventimiglia
Criminal Minds,2005–2020,TV-MA,22,"Crime, Drama, Mystery            ",8.8,413291,Matthew Gray Gubler
It's Always Sunny in Philadelphia,2004– ,TV-14,40,Comedy            ,8.7,41118,Charlie Day
The Mandalorian,2019– ,TV-MA,492,"Action, Adventure, Fantasy            ",8.2,156900,Pedro Pascal
Dopesick,2021,TV-14,43,Drama            ,7.4,126538,Michael Keaton
Castle,2009–2016,R,152,"Comedy, Crime, Drama            ",5.2,8909,Nathan Fillion
The Last Duel,2021,TV-14,24,"Action, Drama, History            ",7.2,7421,Ridley Scott
How I Met Your Father,2022– ,PG,100,"Comedy, Drama            ",8.5,404201,Hilary Duff
Turning Red,2022,TV-PG,22,"Animation, Adventure, Comedy            ",6.9,15796,Domee Shi
Modern Family,2009–2020,TV-14,60,"Comedy, Drama, Romance            ",8.7,412409,Ed O'Neill
Big Sky,2020– ,TV-MA,54,"Crime, Drama, Mystery            ",8.4,1023901,Katheryn Winnick
Daredevil,2015–2018,PG-13,181,"Action, Crime, Drama            ",8.4,656307,Charlie Cox
Avengers: Endgame,2019,TV-14,22,"Action, Adventure, Drama            ",8.1,305553,Anthony Russo
How I Met Your Mother,2005–2014,TV-MA,60,"Comedy, Romance            ",8.4,532565,Josh Radnor
American Horror Story,2011– ,TV-14,44,"Drama, Horror, Sci-Fi            ",8.7,391576,Lady Gaga
Lost,2004–2010,TV-PG,22,"Adventure, Drama, Fantasy            ",7.9,152764,Jorge Garcia
The Simpsons,1989– ,TV-14,40,"Animation, Comedy            ",8.2,323886,Dan Castellaneta
Bones,2005–2017,TV-MA,22,"Comedy, Crime, Drama            ",8.2,15899,Emily Deschanel
Family Guy,1999– ,TV-MA,44,"Animation, Comedy            ",6.0,575,Seth MacFarlane
Snowfall,2017– ,TV-G,30,"Crime, Drama            ",7.8,213758,Damson Idris
The Proud Family: Louder and Prouder,2022– ,TV-14,22,"Animation, Adventure, Comedy            ",7.5,332752,Kyla Pratt
New Girl,2011–2018,PG-13,132,"Comedy, Romance            ",7.0,12447,Zooey Deschanel
Shang-Chi and the Legend of the Ten Rings,2021,TV-14,43,"Action, Adventure, Fantasy            ",8.6,285177,Destin Daniel Cretton
9-1-1: Lone Star,2020– ,TV-MA,45,"Action, Drama, Thriller            ",7.8,14150,Rob Lowe
Sons of Anarchy,2008–2014,TV-MA,22,"Crime, Drama, Thriller            ",8.4,55355,Charlie Hunnam
Better Things,2016–2022,TV-PG,25,"Comedy, Drama            ",8.2,4994,Pamela Adlon
M*A*S*H,1972–1983,TV-PG,22,"Comedy, Drama, War            ",6.0,181104,Alan Alda
Abbott Elementary,2021– ,PG-13,97,Comedy            ,7.7,139380,Quinta Brunson
Venom: Let There Be Carnage,2021,TV-14,60,"Action, Adventure, Sci-Fi            ",5.9,28567,Andy Serkis
Hawkeye,2021,R,99,"Action, Adventure, Crime            ",7.5,8064,Jeremy Renner
Antlers,2021,TV-MA,29,"Drama, Horror, Mystery            ",8.4,82806,Scott Cooper
Dollface,2019– ,TV-PG,23,Comedy            ,8.2,75342,Kat Dennings
Star Wars: The Clone Wars,2008–2020,TV-14,22,"Animation, Action, Adventure            ",0.0,0,Tom Kane
Bob's Burgers,2011– ,No data,0,"Animation, Comedy            ",0.0,0,H. Jon Benjamin
9-1-1,2018– ,TV-14,43,"Action, Drama, Thriller            ",7.9,30398,Angela Bassett
Buffy the Vampire Slayer,1997–2003,TV-14,44,"Action, Drama, Fantasy            ",8.3,141624,Sarah Michelle Gellar
The Resident,2018– ,TV-14,60,Drama            ,7.9,24838,Matt Czuchry
Homeland,2011–2020,TV-MA,55,"Crime, Drama, Mystery            ",8.4,333170,Claire Danes
Avengers: Infinity War,2018,PG-13,149,"Action, Adventure, Sci-Fi            ",8.5,990411,Anthony Russo
Only Murders in the Building,2021– ,TV-MA,30,"Comedy, Crime, Drama            ",8.1,62322,Steve Martin
The Punisher,2017–2019,TV-MA,53,"Action, Crime, Drama            ",8.5,216007,Jon Bernthal
Arrested Development,2003–2019,TV-14,22,Comedy            ,8.7,295185,Jason Bateman
Fight Club,1999,R,139,Drama            ,8.8,2013180,David Fincher
Spider-Man,2002,PG-13,121,"Action, Adventure, Sci-Fi            ",7.4,785264,Sam Raimi
Station 19,2018– ,TV-14,60,"Action, Drama, Romance            ",6.9,13295,Jaina Lee Ortiz
Obi-Wan Kenobi,2022– ,TV-14,22,"Action, Adventure, Sci-Fi            ",8.4,249472,Ewan McGregor
Scrubs,2001–2010,PG-13,194,"Comedy, Drama            ",7.9,1124330,Zach Braff
Titanic,1997,R,108,"Drama, Romance            ",8.0,984414,James Cameron
Deadpool,2016,TV-PG,45,"Action, Adventure, Comedy            ",7.6,212236,Tim Miller
Agents of S.H.I.E.L.D.,2013–2020,TV-14,42,"Action, Adventure, Drama            ",7.8,5989,Clark Gregg
Law & Order: Organized Crime,2021– ,PG-13,133,"Crime, Drama, Mystery            ",7.4,615787,Christopher Meloni
Spider-Man: Homecoming,2017,TV-MA,30,"Action, Adventure, Sci-Fi            ",8.6,62599,Jon Watts
What We Do in the Shadows,2019– ,TV-14,22,"Comedy, Fantasy, Horror            ",8.5,228141,Kayvan Novak
Futurama,1999–2023,PG-13,134,"Animation, Adventure, Comedy            ",6.7,340413,Billy West
Black Widow,2021,TV-PG,60,"Action, Adventure, Sci-Fi            ",7.9,219061,Cate Shortland
Once Upon a Time,2011–2018,TV-14,119,"Adventure, Fantasy, Romance            ",8.3,270614,Ginnifer Goodwin
Loki,2021– ,R,44,"Action, Adventure, Fantasy            ",7.7,544785,Tom Hiddleston
Deadpool 2,2018,TV-MA,44,"Action, Adventure, Comedy            ",8.4,95113,David Leitch
The Americans,2013–2018,TV-14,149,"Crime, Drama, Mystery            ",8.4,513196,Keri Russell
Prison Break,2005–2017,R,134,"Action, Crime, Drama            ",8.1,941022,Dominic Purcell
Gone Girl,2014,PG-13,350,"Drama, Mystery, Thriller            ",7.4,213784,David Fincher
Cruella,2021,TV-PG,30,"Adventure, Comedy, Crime            ",8.0,272778,Craig Gillespie
WandaVision,2021,TV-PG,162,"Action, Comedy, Drama            ",8.2,39745,Elizabeth Olsen
The Golden Girls,1985–1992,PG-13,117,"Comedy, Drama            ",7.9,1183230,Bea Arthur
Avatar,2009,PG,95,"Action, Adventure, Fantasy            ",8.4,476193,James Cameron
Spider-Man: Into the Spider-Verse,2018,PG,44,"Animation, Action, Adventure            ",7.3,110112,Bob Persichetti
Paddington,2014,TV-14,30,"Adventure, Comedy, Family            ",8.4,182107,Paul King
24,2001–2010,TV-MA,121,"Action, Crime, Drama            ",8.6,62438,Kiefer Sutherland
Atlanta,2016– ,PG,116,"Comedy, Drama, Music            ",8.6,1310378,Donald Glover
Star Wars,1977,R,121,"Action, Adventure, Fantasy            ",7.4,71666,George Lucas
MASH,1970,PG-13,130,"Comedy, Drama, War            ",8.1,1128641,Robert Altman
Guardians of the Galaxy,2014,PG-13,32,"Action, Adventure, Comedy            ",8.5,1282231,James Gunn
The Prestige,2006,TV-14,129,"Drama, Mystery, Thriller            ",7.5,90695,Christopher Nolan
What If...?,2021– ,PG-13,44,"Animation, Action, Adventure            ",7.4,448769,Jeffrey Wright
Spider-Man: Far from Home,2019,TV-14,107,"Action, Adventure, Sci-Fi            ",9.0,258126,Jon Watts
Firefly,2002–2003,PG,112,"Adventure, Drama, Sci-Fi            ",7.3,137182,Nathan Fillion
Raya and the Last Dragon,2021,PG-13,130,"Animation, Action, Adventure            ",6.7,457417,Don Hall
Venom,2018,PG-13,127,"Action, Adventure, Sci-Fi            ",7.9,684985,Ruben Fleischer
Thor: Ragnarok,2017,PG-13,160,"Action, Adventure, Comedy            ",6.6,171333,Taika Waititi
Jungle Cruise,2021,PG-13,98,"Action, Adventure, Comedy            ",8.4,84142,Jaume Collet-Serra
Hamilton,2020,PG,143,"Biography, Drama, History            ",8.0,418533,Thomas Kail
The Princess Bride,1987,PG-13,44,"Adventure, Family, Fantasy            ",8.1,1066788,Rob Reiner
Pirates of the Caribbean: The Curse of the Black Pearl,2003,TV-14,0,"Action, Adventure, Fantasy            ",8.0,68009,Gore Verbinski
The Orville,2017– ,No data,0,"Adventure, Comedy, Drama            ",0.0,0,Seth MacFarlane
The Amazing Spider-Man,2012,PG-13,136,"Action, Adventure, Sci-Fi            ",7.0,630830,Marc Webb
Jojo Rabbit,2019,PG-13,108,"Comedy, Drama, War            ",7.9,361202,Taika Waititi
Black Panther,2018,PG-13,134,"Action, Adventure, Sci-Fi            ",7.3,710941,Ryan Coogler
Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,141,"Action, Adventure, Fantasy            ",6.5,423243,J.J. Abrams
Jessica Jones,2015–2019,TV-MA,56,"Action, Crime, Drama            ",7.9,207308,Krysten Ritter
Moana,I 2016,PG,107,"Animation, Adventure, Comedy            ",7.6,314953,Ron Clements
The Greatest Showman,2017,PG,105,"Biography, Drama, Musical            ",7.6,268346,Michael Gracey
Little Miss Sunshine,2006,R,101,"Comedy, Drama            ",7.8,465166,Jonathan Dayton
Luca,2021,PG,95,"Animation, Adventure, Comedy            ",7.5,141371,Enrico Casarosa
Doctor Strange,2016,PG-13,115,"Action, Adventure, Fantasy            ",7.5,683227,Scott Derrickson
Logan,2017,R,137,"Action, Drama, Sci-Fi            ",8.1,718159,James Mangold
Desperate Housewives,2004–2012,TV-14,45,"Comedy, Drama, Mystery            ",7.6,124997,Teri Hatcher
Captain Marvel,2019,PG-13,123,"Action, Adventure, Sci-Fi            ",6.8,523717,Anna Boden
Malcolm in the Middle,2000–2006,TV-PG,22,"Comedy, Family            ",8.2,126736,Frankie Muniz
X-Men: First Class,2011,PG-13,131,"Action, Adventure, Sci-Fi            ",7.7,675509,Matthew Vaughn
Iron Man,2008,PG-13,126,"Action, Adventure, Sci-Fi            ",7.9,1016822,Jon Favreau
Scandal,2012–2018,TV-14,43,"Drama, Thriller            ",7.8,71732,Kerry Washington
The Big Short,2015,R,130,"Biography, Comedy, Drama            ",7.8,410759,Adam McKay
The Avengers,2012,PG-13,143,"Action, Adventure, Sci-Fi            ",8.1,1343154,Joss Whedon
Spider-Man 3,2007,PG-13,139,"Action, Adventure, Sci-Fi            ",6.3,565876,Sam Raimi
Alien,1979,R,117,"Horror, Sci-Fi            ",8.5,845973,Ridley Scott
Star Wars: Rebels,2014–2018,TV-Y7-FV,22,"Animation, Action, Adventure            ",8.0,38967,Dave Filoni
Bohemian Rhapsody,2018,PG-13,134,"Biography, Drama, Music            ",8.0,509748,Bryan Singer
The Proposal,I 2009,PG-13,108,"Comedy, Drama, Romance            ",6.7,317950,Anne Fletcher
Star Wars: Episode I - The Phantom Menace,1999,PG,136,"Action, Adventure, Fantasy            ",6.5,774091,George Lucas
Cinderella,I 2015,PG,105,"Adventure, Drama, Family            ",6.9,173143,Kenneth Branagh
Spider-Man 2,2004,PG-13,127,"Action, Adventure, Sci-Fi            ",7.4,624439,Sam Raimi
White Collar,2009–2014,TV-PG,40,"Comedy, Crime, Drama            ",8.3,127598,Matt Bomer
